id,id_temporada,id_equipo,juegos,ganados,empates,derrotas,goles_favor,goles_contra,a_cero
1,5,1,0,0,0,0,0,0,0
2,5,2,0,0,0,0,0,0,0
3,5,3,0,0,0,0,0,0,0
4,5,4,0,0,0,0,0,0,0
5,5,5,0,0,0,0,0,0,0
6,5,6,0,0,0,0,0,0,0
7,5,7,0,0,0,0,0,0,0
8,5,8,0,0,0,0,0,0,0
9,5,9,0,0,0,0,0,0,0
10,5,10,0,0,0,0,0,0,0
11,5,11,0,0,0,0,0,0,0
12,5,12,0,0,0,0,0,0,0
13,5,13,0,0,0,0,0,0,0
14,5,14,0,0,0,0,0,0,0
15,5,15,0,0,0,0,0,0,0
16,5,16,0,0,0,0,0,0,0
17,5,17,0,0,0,0,0,0,0
18,5,18,0,0,0,0,0,0,0
19,5,19,0,0,0,0,0,0,0
20,5,20,0,0,0,0,0,0,0
